point_id,x,y,assigned_slot_id,assigned_layer_id,assigned_layer_name
138,80.9478383529793,40.30903462887006,305,1,inner_ring
139,51.22705429778794,88.87450115161748,61,0,outer_ring
140,40.58864154864767,90.91713793341884,85,0,outer_ring
141,44.248451632698945,89.66472205033915,79,0,outer_ring
142,53.26751687049059,90.18413385135058,55,0,outer_ring
143,46.85021205142028,90.60099874422473,73,0,outer_ring
144,47.432381208279516,88.88154606187265,71,0,outer_ring
145,42.52911071786928,87.91825539391183,82,0,outer_ring
146,36.499563122348896,86.517392956612,95,0,outer_ring
147,40.95747818361953,86.77638008360326,87,0,outer_ring
148,32.719125399359875,85.1891467745194,101,0,outer_ring
149,27.517526722251063,79.13160515628476,108,0,outer_ring
150,34.52318935486544,82.0734643611373,102,0,outer_ring
151,35.398905106763344,69.31566406966611,265,1,inner_ring
152,28.340962156701455,59.54205769091326,269,1,inner_ring
153,23.022408147540514,76.32634724648659,112,0,outer_ring
154,26.05035294196615,50.487616128587014,273,1,inner_ring
155,32.97579093844285,49.856660830847055,367,2,octagram
156,30.05992723304362,59.88477761886523,359,2,octagram
157,26.79826041327364,47.68443668829994,274,1,inner_ring
158,29.634432739182525,57.89837017450487,361,2,octagram
159,40.52001276059387,50.24525003967573,470,3,stroke_nan
160,47.447463846470356,55.547387558233105,459,3,stroke_nan
161,44.026947873689224,47.06682827595998,479,3,stroke_nan
162,45.823610701603954,62.37968483870206,448,3,stroke_nan
163,49.57480400654835,58.13448359391309,452,3,stroke_nan
164,46.31126373578325,56.498006095512935,456,3,stroke_nan
165,56.95189219498274,50.9139526030138,530,4,stroke_kai
166,58.91619542707515,58.98016477957184,512,4,stroke_kai
167,69.01012912207545,61.306287059746865,316,2,octagram
168,66.80287159005918,69.0468002004291,322,2,octagram
169,54.3928929646002,67.92972145795397,334,2,octagram
170,51.00405333249786,56.339275833859105,457,3,stroke_nan
171,58.093771458929815,52.18277200744082,529,4,stroke_kai
172,58.88505767223609,55.418507561072914,520,4,stroke_kai
173,45.89909243748058,36.35776873431867,503,3,stroke_nan
174,43.25740456118167,47.33776337977751,481,3,stroke_nan
175,51.234295886820576,48.42948041487039,475,3,stroke_nan
176,44.1535863522409,37.40944786829562,502,3,stroke_nan
177,58.97768351127906,33.23818651680872,567,4,stroke_kai
178,40.2930166619236,33.001017353106846,387,2,octagram
179,31.453783178415524,37.26331109708334,380,2,octagram
180,40.361895308378294,31.909251169733274,388,2,octagram
181,29.0181382643069,38.85145561578006,377,2,octagram
182,32.181906265185276,46.41186238616518,371,2,octagram
183,44.56136500404273,48.74649213356769,474,3,stroke_nan
184,42.22037795188078,46.80806804863966,482,3,stroke_nan
185,28.07094288990199,35.73470838384874,279,1,inner_ring
186,31.910081473535783,43.90525954623455,372,2,octagram
187,20.615824206169243,23.384441433519388,124,0,outer_ring
188,27.30075868407524,15.804754938037863,128,0,outer_ring
189,24.23655321323363,16.447263345686807,127,0,outer_ring
190,42.479812561995814,29.57566249510485,390,2,octagram
191,43.15512683410065,22.251602953938193,395,2,octagram
192,50.35836778305943,25.93297858569976,401,2,octagram
193,53.47839358625432,38.21167699351979,501,3,stroke_nan
194,52.45323081425151,38.70954091163822,499,3,stroke_nan
195,52.408880601908315,43.14684544376418,490,3,stroke_nan
196,56.84314672959918,39.91184897379791,557,4,stroke_kai
197,64.5326906640634,44.99885461706813,546,4,stroke_kai
198,59.54484898852772,41.22114048790608,555,4,stroke_kai
199,63.68230055243863,52.48019919692798,526,4,stroke_kai
200,69.32959053938177,53.861855750467214,523,4,stroke_kai
201,69.02023396118007,45.95177083607507,543,4,stroke_kai
202,67.22076371872242,55.120548089801815,519,4,stroke_kai
203,74.79815929938906,48.37341876960457,439,2,octagram
204,67.33692272422732,69.37918136438903,323,2,octagram
205,62.74508727987258,71.50653604533576,328,2,octagram
206,40.66216891062651,72.65251866388219,262,1,inner_ring
207,52.56555234235631,90.09982145991863,57,0,outer_ring
208,55.843275870745266,90.53573475272734,50,0,outer_ring
209,56.14423289257273,89.23831472322875,49,0,outer_ring
210,64.50270860758913,87.70103094441068,30,0,outer_ring
211,46.355270591125944,88.69537745405745,75,0,outer_ring
212,55.642901346051936,89.00550366453245,51,0,outer_ring
213,58.22184322319642,76.37209499489241,255,1,inner_ring
214,51.66442947790326,68.57156142736157,336,2,octagram
215,41.86831440491297,68.41053788109872,347,2,octagram
216,46.00890721714405,74.27002055038304,260,1,inner_ring
217,29.669399463957653,62.99979859821768,268,1,inner_ring
218,37.67972575142423,69.95372942467218,264,1,inner_ring
219,37.92129888329722,61.353537595264314,354,2,octagram
220,58.07563489338618,90.38416019176601,44,0,outer_ring
221,62.86553343346638,89.7525611417381,33,0,outer_ring
222,60.49470470899347,89.7267969932969,38,0,outer_ring
223,66.25373824507456,89.34892475943097,27,0,outer_ring
224,59.83945515762707,89.56437037657756,39,0,outer_ring
225,67.16384164511936,66.00820814381007,320,2,octagram
226,64.88120641719668,88.3285648064561,29,0,outer_ring
227,76.14559502636605,83.90706320925406,12,0,outer_ring
228,70.51600918240129,70.76879452781078,250,1,inner_ring
229,87.70139515095771,73.29626143493215,5,0,outer_ring
230,79.37749970429044,55.53471551138679,446,2,octagram
231,81.21958230653487,78.0760829850331,8,0,outer_ring
232,78.59882273622567,62.77504290133506,245,1,inner_ring
233,77.97148128296561,59.2514118337215,310,2,octagram
234,94.1212723286974,63.882985659571354,2,0,outer_ring
235,77.75187400117727,36.442347567796986,429,2,octagram
236,81.04262012730999,32.4655296525642,302,1,inner_ring
237,82.41802732940583,50.247377878980984,241,1,inner_ring
238,80.53781277418432,37.506512185341094,304,1,inner_ring
239,95.15921537407432,37.460184084575204,238,0,outer_ring
240,60.73575268672836,45.05213427819354,545,4,stroke_kai
241,56.520902737619245,47.2809708491919,538,4,stroke_kai
242,67.91608108359041,33.2966292320168,421,2,octagram
243,59.93297293157919,22.955642681094933,409,2,octagram
244,67.1534156598552,39.95865183974388,559,4,stroke_kai
245,74.12209057273796,35.349607757785364,427,2,octagram
246,84.05224393961544,18.299228044821604,231,0,outer_ring
247,70.84235689064532,33.868345446972214,423,2,octagram
248,66.93638286034313,28.026034276425957,417,2,octagram
249,58.80399719770105,25.11574170714064,407,2,octagram
250,66.37283049992723,24.929499589844568,415,2,octagram
251,65.14997583404507,21.03313378412447,295,1,inner_ring
252,58.08060558901664,7.56126268796952,183,0,outer_ring
253,54.710537096288576,20.26537560286668,291,1,inner_ring
254,50.880906239784196,26.659526693502585,402,2,octagram
255,48.14645833271559,6.380406539062101,157,0,outer_ring
256,49.80382658849851,25.415325166492266,400,2,octagram
257,45.631793678155425,7.1671692968576455,152,0,outer_ring
258,46.856185964447775,6.857087634016834,154,0,outer_ring
259,55.48693417967814,4.470338662323593,175,0,outer_ring
260,52.641072423086435,7.467860740447352,167,0,outer_ring
261,51.99694734633014,5.634485803958231,166,0,outer_ring
262,55.935062976204435,4.926654532553765,177,0,outer_ring
263,47.89600701230191,5.041408028937151,156,0,outer_ring
264,49.32830596861594,6.167484596872983,160,0,outer_ring
265,52.81054256565632,5.453380031512434,169,0,outer_ring
266,39.813759581714685,9.006226108605999,143,0,outer_ring
267,55.49213985038915,5.656093520786849,176,0,outer_ring
268,59.88413862323203,7.100319889906798,188,0,outer_ring
269,63.63484598184682,7.4176337266634995,196,0,outer_ring
270,71.40040149145368,10.019066892635754,214,0,outer_ring
271,66.35385924618203,6.456920639692867,202,0,outer_ring
272,65.59782696066371,7.053509072565051,201,0,outer_ring
273,76.27289344140905,13.549303865714784,223,0,outer_ring
274,71.39463283456192,10.299190902906702,215,0,outer_ring
275,66.15309400524184,8.452105219906555,203,0,outer_ring
276,69.83114161727624,9.11703467067001,211,0,outer_ring
277,67.27205732731711,8.318801281883644,206,0,outer_ring
278,28.70306973759933,14.56065937108156,129,0,outer_ring
279,40.80017848135653,25.125419743893506,285,1,inner_ring
280,83.0674482439096,42.56398498200483,306,1,inner_ring
281,52.1051536352996,89.8471238964862,58,0,outer_ring
282,39.4187305728426,86.94024286031123,89,0,outer_ring
283,43.36747959628637,89.05992258658534,80,0,outer_ring
284,50.923332487981405,89.44198125201746,62,0,outer_ring
285,39.99793393132081,87.26096191055008,88,0,outer_ring
286,51.29518688856171,89.11898837254058,60,0,outer_ring
287,38.90688028642137,86.0921312396671,91,0,outer_ring
288,37.2127892203895,87.17912104357167,93,0,outer_ring
289,35.05659186304067,83.01124698406555,99,0,outer_ring
290,35.99206373890437,86.94520422180823,96,0,outer_ring
291,42.20845470147834,69.58238702066116,346,2,octagram
292,32.21184630950775,83.35527378458765,103,0,outer_ring
293,27.834308719029348,80.30435145068407,107,0,outer_ring
294,25.50702105485644,78.76798519086894,110,0,outer_ring
295,17.35647020384082,67.16162050064024,116,0,outer_ring
296,15.25234383525226,60.368560049587956,118,0,outer_ring
297,27.309661004124617,54.95933193935415,272,1,inner_ring
298,33.993166842336294,48.28667623194811,369,2,octagram
299,28.621048540409223,58.39325990629608,360,2,octagram
300,33.54516017959344,46.75501418514321,370,2,octagram
301,39.47789567515154,61.96132698356044,353,2,octagram
302,39.90887023511307,41.55607103874444,494,3,stroke_nan
303,51.61391619585389,57.155379116419915,454,3,stroke_nan
304,47.65647132889649,59.084167001347765,449,3,stroke_nan
305,40.77409365297701,63.40888206813007,351,2,octagram
306,57.606508855486936,54.73191266777409,522,4,stroke_kai
307,61.103132399732374,57.37291918931313,516,4,stroke_kai
308,61.03989398092286,57.7166895807479,515,4,stroke_kai
309,63.74923457756712,72.18699409260508,327,2,octagram
310,65.11089661657407,71.6089907299466,324,2,octagram
311,52.8540797592408,67.7018513304972,335,2,octagram
312,47.71403998801303,71.61194119521744,339,2,octagram
313,56.998100090227204,43.43851301225751,551,4,stroke_kai
314,46.277771715408186,51.57987979266468,467,3,stroke_nan
315,51.266117914367975,44.36719932336656,487,3,stroke_nan
316,50.64058585678192,45.540187652700006,483,3,stroke_nan
317,55.56933849248836,42.741581947087475,550,4,stroke_kai
318,42.816231621359215,48.5228696436113,476,3,stroke_nan
319,39.69532533870452,45.52468375411206,484,3,stroke_nan
320,39.18117292832346,33.24450272332656,386,2,octagram
321,38.748943077509765,41.895584438994135,493,3,stroke_nan
322,31.373168407228277,31.576038069893748,281,1,inner_ring
323,32.24170178461188,35.582983422661044,381,2,octagram
324,28.586534113773443,37.538558503169405,378,2,octagram
325,26.760509653080646,37.960237321084406,278,1,inner_ring
326,43.852597496121916,46.54222143174896,480,3,stroke_nan
327,30.07137604789875,35.861953866311566,379,2,octagram
328,29.544897183708112,40.92227012346648,375,2,octagram
329,19.1118988363803,27.279863887913503,123,0,outer_ring
330,33.021753092183324,11.979306045677715,133,0,outer_ring
331,32.07809544856999,11.73526131790408,132,0,outer_ring
332,38.95447486872198,24.044177962201786,284,1,inner_ring
333,47.06346845555368,21.43105293939647,288,1,inner_ring
334,43.84204685659315,43.91758193749082,488,3,stroke_nan
335,52.81039420583735,36.719363399640244,504,3,stroke_nan
